iter	MultiClass
0	1.042702396
1	0.9921073895
2	0.9455136179
3	0.9026509117
4	0.862187297
5	0.8245717689
6	0.7904846282
7	0.757553171
8	0.7271042161
9	0.6985455828
10	0.6713912211
11	0.645782793
12	0.6219028806
13	0.5991510823
14	0.5780851433
15	0.5575009853
16	0.5381142949
17	0.5197785047
18	0.5022441981
19	0.4856502309
20	0.469367036
21	0.4539980717
22	0.4394256302
23	0.4255217191
24	0.4123789051
25	0.3996643533
26	0.3874117849
27	0.3757695813
28	0.3646765998
29	0.354038618
30	0.3436919566
31	0.3338583554
32	0.32430493
33	0.3153260562
34	0.3065630672
35	0.2980493259
36	0.2897875008
37	0.2818785038
38	0.274329919
39	0.2671935054
40	0.2602622989
41	0.2535725037
42	0.2470775926
43	0.2408792204
44	0.2348908768
45	0.2290915688
46	0.2235051206
47	0.2181860014
48	0.2130430209
49	0.2081102862
50	0.20332987
51	0.1986362916
52	0.194225178
53	0.1899451337
54	0.1858733015
55	0.1818542081
56	0.1780359081
57	0.1742465478
58	0.1707376128
59	0.1672118143
60	0.1638345404
61	0.1605521589
62	0.157427053
63	0.1543547007
64	0.1514102004
65	0.1485789723
66	0.1458205043
67	0.1431885641
68	0.1406250295
69	0.1381898988
70	0.1358828905
71	0.1335662296
72	0.1313353197
73	0.1291989589
74	0.1271162414
75	0.1251362552
76	0.1231785426
77	0.1212989618
78	0.1194184753
79	0.1176913173
80	0.1159839874
81	0.114360568
82	0.1127453077
83	0.1111790745
84	0.109702313
85	0.1082923824
86	0.1069297876
87	0.1056398305
88	0.1043766551
89	0.1031243901
90	0.1020183741
91	0.1008221805
92	0.09967392959
93	0.09863144339
94	0.09751830102
95	0.09649377192
96	0.09544986726
97	0.09444543148
98	0.0935164358
99	0.09258096416
100	0.09172217717
101	0.09083403267
102	0.09001321653
103	0.08921616546
104	0.08840879078
105	0.08767735667
106	0.08694833065
107	0.0862717447
108	0.08558622816
109	0.08495759099
110	0.08430798044
111	0.0836890814
112	0.08311186907
113	0.08253747209
114	0.08198751317
115	0.0814450456
116	0.08090489144
117	0.08038386533
118	0.07985976526
119	0.07939866256
120	0.0790243263
121	0.07856490659
122	0.07812155423
123	0.07767335942
124	0.07726646768
125	0.07684898147
126	0.07644832044
127	0.0760645523
128	0.07570524041
129	0.07537361243
130	0.07505289458
131	0.0747251334
132	0.07441605605
133	0.07408870013
134	0.07379699443
135	0.07350512876
136	0.07321320973
137	0.07298112061
138	0.07271392921
139	0.07247493389
140	0.07221329398
141	0.07194199183
142	0.07167658615
143	0.0714382593
144	0.07118953004
145	0.07097267509
146	0.07079611894
147	0.07063838249
148	0.07040412934
149	0.07017701283
150	0.06997846521
151	0.06977635607
152	0.06959386501
153	0.06944242399
154	0.06927650012
155	0.06912722561
156	0.06896377132
157	0.06880387712
158	0.06866248336
159	0.06851891564
160	0.06837485342
161	0.06831744781
162	0.06817832255
163	0.0680613036
164	0.06791441201
165	0.06775655985
166	0.06762618915
167	0.06752881616
168	0.06743501059
169	0.06733526927
170	0.06717992781
171	0.06706156887
172	0.06702371751
173	0.0669864232
174	0.06688917792
175	0.06679425825
176	0.06671142631
177	0.06661745829
178	0.06652170899
179	0.0664157057
180	0.06633891388
181	0.06624607175
182	0.06615541084
183	0.06606133752
184	0.06603615722
185	0.06591082818
186	0.06584040338
187	0.06576311299
188	0.06569069384
189	0.06561446047
190	0.0655546031
191	0.06548140388
192	0.0653843456
193	0.06530706063
194	0.06523838008
195	0.06517524628
196	0.06515578983
197	0.06509581443
198	0.0650216001
199	0.06501126313
